,Open,Date,Close,Subjectivity,Polarity,Compound,Negative,Neutral,Positive,label,PreClose
0,13.275,04-01-2010,13.346,0.392845118,0.026325758,0.9349,0.01,0.898,0.091,1,13.346
1,13.277,05-01-2010,13.403,0.348686869,0.057590188,0.8074,0.076,0.806,0.118,1,13.346
2,13.25,06-01-2010,13.463,0.32345679,0.083024691,0.9756,0.018,0.896,0.086,1,13.403
3,13.357,07-01-2010,13.678,0.28124667,0.063512737,0.9896,0.038,0.861,0.101,1,13.463
4,13.402,08-01-2010,13.719,0.368181818,-0.012045455,0.8969,0.07,0.839,0.091,1,13.678
5,13.744,11-01-2010,13.51,0.355763889,0.013680556,0.7351,0.061,0.856,0.083,1,13.719
6,13.33,12-01-2010,12.812,0.348759655,0.052209596,0.9906,0.02,0.899,0.081,1,13.51
7,13.028,13-01-2010,12.932,0.349765512,0.043511003,0.9819,0.013,0.905,0.081,1,12.812
8,12.931,14-01-2010,12.989,0.308974026,0.042649351,0.995,0.007,0.87,0.123,1,12.932
9,12.704,15-01-2010,12.867,0.297535613,0.093917379,0.9952,0.006,0.868,0.126,1,12.989
10,13.208,19-01-2010,13.863,0.438333333,0.04,0.8945,0.029,0.902,0.069,1,12.867
11,13.776,20-01-2010,13.647,0.408468835,0.030250678,0.9896,0.046,0.833,0.121,1,13.863
12,13.45,21-01-2010,13.038,0.266399551,0.063011223,0.9936,0.031,0.847,0.122,1,13.647
13,12.856,22-01-2010,12.583,0.24988456,0.063362193,0.9845,0.016,0.897,0.086,1,13.038
14,12.898,25-01-2010,12.847,0.26965812,-0.048504274,-0.4939,0.057,0.92,0.023,1,12.583
15,12.604,26-01-2010,12.374,0.182478632,0.02008547,0.7964,0,0.952,0.048,1,12.847
16,12.32,27-01-2010,11.879,0.355145202,0.060172033,0.9873,0.034,0.824,0.143,1,12.374
17,12.066,28-01-2010,11.607,0.251563193,0.015879527,0.9944,0.006,0.844,0.15,1,11.879
18,11.983,29-01-2010,11.83,0.404334554,0.017155067,0.9925,0.034,0.858,0.108,1,11.607
19,12.05,01-02-2010,11.965,0.29540404,0.022186869,0.6701,0.026,0.914,0.059,1,11.83
20,11.844,02-02-2010,12.038,0.361835749,0.103019324,0.0671,0.063,0.866,0.072,1,11.965
21,12.268,03-02-2010,12.161,0.331818182,0.160227273,0.5801,0.066,0.863,0.071,1,12.038
22,11.964,04-02-2010,11.579,0.230383379,0.050264004,0.9852,0.017,0.859,0.124,1,12.161
23,11.418,05-02-2010,11.143,0.295416805,0.038201659,0.9097,0.039,0.885,0.076,1,11.579
24,11.201,08-02-2010,11.083,0.207738095,0.065232684,0.9509,0.022,0.893,0.085,1,11.143
25,11.402,09-02-2010,11.343,0.258712121,0.05719697,0.8042,0.056,0.873,0.071,1,11.083
26,11.459,10-02-2010,11.485,0.428383117,0.022005411,0.9299,0.032,0.908,0.061,1,11.343
27,11.551,11-02-2010,11.639,0.41469697,0.036909091,0.9648,0.011,0.918,0.071,1,11.485
28,11.485,12-02-2010,11.577,0.425488301,0.020806921,0.1531,0.046,0.905,0.049,1,11.639
29,11.579,16-02-2010,11.787,0.285753184,0.02598924,0.8954,0.063,0.852,0.085,1,11.577
30,11.944,17-02-2010,11.757,0.399940476,-0.005446429,0.967,0.024,0.896,0.081,1,11.787
31,11.955,18-02-2010,12.047,0.330254154,0.055474096,0.9608,0.05,0.845,0.105,1,
32,11.852,19-02-2010,12.079,0.429333333,0.000666667,0.9896,0.017,0.805,0.179,1,12.047
33,12.03,22-02-2010,12.11,0.352020202,-0.012608225,0.9766,0.017,0.868,0.115,1,12.079
34,12.1,23-02-2010,11.963,0.324962121,0.01907197,0.9754,0.017,0.897,0.087,1,12.11
35,12.034,24-02-2010,12.147,0.355238772,0.067970441,0.9778,0.034,0.884,0.082,1,11.963
