Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,17.57,18.09,17.49,18.030001,16.901852,2141700
05-01-2010,17.780001,17.9,17.620001,17.85,16.733114,2022500
06-01-2010,17.9,18.01,17.77,17.99,16.864355,2057800
07-01-2010,17.389999,17.629999,17.34,17.57,16.470633,2706800
08-01-2010,17.559999,17.559999,17.370001,17.4,16.31127,1967200
11-01-2010,17.75,17.75,17.280001,17.370001,16.28315,988800
12-01-2010,17.15,17.309999,16.889999,16.98,15.917548,1076700
13-01-2010,17.18,17.440001,17.120001,17.4,16.31127,957400
14-01-2010,17.469999,17.6,17.219999,17.530001,16.433134,1426000
15-01-2010,17.57,17.73,17.1,17.34,16.255024,1293000
19-01-2010,17.540001,17.799999,17.34,17.4,16.31127,1764500
20-01-2010,17.440001,17.440001,16.9,17.049999,15.983168,2476300
21-01-2010,16.91,17.02,16.299999,16.58,15.542577,1466100
22-01-2010,16.549999,16.700001,16.25,16.280001,15.26135,1081400
25-01-2010,16.450001,16.469999,16.280001,16.4,15.37384,1040900
26-01-2010,16.280001,16.35,16.1,16.16,15.148856,1250100
27-01-2010,15.45,15.45,14.63,15.28,14.32392,2864900
28-01-2010,15.35,15.45,14.97,15.05,14.108311,1517400
29-01-2010,15.13,15.26,14.55,14.63,13.71459,1621400
01-02-2010,15.2,15.91,15.2,15.65,14.670767,1511400
02-02-2010,15.46,15.72,15.36,15.61,14.633271,1200200
03-02-2010,15.7,15.99,15.64,15.74,14.755136,1264900
04-02-2010,15,15,14.21,14.41,13.508356,2410800
05-02-2010,14.27,14.49,13.85,14.28,13.386491,1570100
08-02-2010,14.31,14.6,14.15,14.47,13.564602,858800
09-02-2010,14.58,14.81,14.48,14.81,13.883328,891500
10-02-2010,14.57,14.74,14.31,14.65,13.733338,978700
11-02-2010,14.94,15.13,14.8,15.1,14.155183,708400
12-02-2010,14.81,15.28,14.81,15.17,14.220802,1056200
16-02-2010,15.52,15.6,15.45,15.54,14.567651,765000
17-02-2010,15.74,15.92,15.45,15.92,14.923874,1369600
18-02-2010,15.75,15.8,15.48,15.66,14.680142,1160500
19-02-2010,15.42,15.54,15.32,15.36,14.398913,846500
22-02-2010,15.42,15.74,15.42,15.56,14.5864,1407800
23-02-2010,15.29,15.55,15.1,15.15,14.202054,1934300
24-02-2010,15.04,15.33,14.95,15.2,14.248926,1182000
25-02-2010,14.71,14.89,14.5,14.85,13.920826,1169100
26-02-2010,15.65,16.290001,15.5,16.18,15.167607,1824000
01-03-2010,16.200001,16.700001,16.200001,16.700001,15.655069,2057300
02-03-2010,17.33,17.75,17.190001,17.5,16.405014,2853700
03-03-2010,17.379999,17.639999,17.26,17.639999,16.536253,3368000
04-03-2010,17.620001,17.860001,17.549999,17.780001,16.667496,2009000
05-03-2010,17.91,18.65,17.610001,18.559999,17.398687,3037200
08-03-2010,17.549999,18.030001,17.32,18,16.873726,4924200
09-03-2010,17.610001,18.639999,17.6,18.459999,17.304945,2646400
10-03-2010,18.41,18.790001,18.379999,18.59,17.426811,2400000
11-03-2010,18.41,18.41,17.99,18.24,17.098713,1891300
12-03-2010,18.290001,18.32,18.15,18.18,17.042465,878700
15-03-2010,18.219999,18.41,18,18.16,17.023716,916800
16-03-2010,18.209999,18.59,18.18,18.5,17.342443,756000
17-03-2010,18.629999,18.780001,18.5,18.77,17.595551,1073900
18-03-2010,18.379999,18.790001,18.24,18.26,17.11746,600600
19-03-2010,18,18.57,18,18,16.873726,1611300
22-03-2010,17.85,18.190001,17.6,18.129999,16.995594,498300
23-03-2010,17.77,18.030001,17.6,18,16.873726,873000
24-03-2010,17.790001,17.93,17.370001,17.65,16.545628,712800
25-03-2010,17.459999,17.549999,17.16,17.34,16.255024,2010300
26-03-2010,17.57,18.049999,17.549999,17.75,16.63937,1107100
29-03-2010,17.85,17.889999,17.559999,17.73,16.620621,976600
30-03-2010,17.889999,18.52,17.83,18.51,17.351818,1708500
31-03-2010,18.23,18.65,18.209999,18.459999,17.304945,1309900
01-04-2010,18.709999,19.1,18.709999,19.09,17.895525,1592200
05-04-2010,19.200001,19.48,19.07,19.35,18.139259,1418700
06-04-2010,19.26,19.26,18.93,18.99,17.801783,1223500
07-04-2010,19.25,19.25,18.93,19.030001,17.839281,1078400
08-04-2010,18.879999,18.950001,18.58,18.74,17.567425,512000
09-04-2010,19.25,19.4,19.049999,19.34,18.129883,1055300
12-04-2010,19.120001,19.559999,19.049999,19.34,18.129883,1090800
13-04-2010,19.280001,19.299999,19.02,19.15,17.951771,617300
14-04-2010,19.290001,19.73,19.16,19.65,18.420485,917000
15-04-2010,19.65,19.84,19.540001,19.84,18.598597,683700
16-04-2010,19.85,19.85,19.01,19.33,18.120508,1279400
19-04-2010,19.09,19.43,19.09,19.389999,18.176754,1069300
20-04-2010,19.629999,19.780001,19.440001,19.459999,18.242374,511200
21-04-2010,19.719999,19.940001,19.700001,19.860001,18.617346,776900
