,Open,Date,Close,Subjectivity,Polarity,Compound,Negative,Neutral,Positive,label,PreClose
0,17.57,04-01-2010,18.030001,0.392845118,0.026325758,0.9349,0.01,0.898,0.091,0,18.03
1,17.780001,05-01-2010,17.85,0.348686869,0.057590188,0.8074,0.076,0.806,0.118,0,18.030001
2,17.9,06-01-2010,17.99,0.32345679,0.083024691,0.9756,0.018,0.896,0.086,0,17.85
3,17.389999,07-01-2010,17.57,0.28124667,0.063512737,0.9896,0.038,0.861,0.101,0,17.99
4,17.559999,08-01-2010,17.4,0.368181818,-0.012045455,0.8251,0.075,0.834,0.091,0,17.57
5,17.75,11-01-2010,17.370001,0.355763889,0.013680556,0.25,0.037,0.911,0.052,0,17.4
6,17.15,12-01-2010,16.98,0.367366522,0.050717893,0.9296,0.013,0.938,0.048,0,17.370001
7,17.18,13-01-2010,17.4,0.349765512,0.043511003,0.9824,0.013,0.905,0.082,0,16.98
8,17.469999,14-01-2010,17.530001,0.318061497,0.043903743,0.995,0.007,0.87,0.123,0,17.4
9,17.57,15-01-2010,17.34,0.297535613,0.093917379,0.9952,0.006,0.868,0.126,0,17.530001
10,17.540001,19-01-2010,17.4,0.438333333,0.04,0.9224,0.042,0.872,0.086,0,17.34
11,17.440001,20-01-2010,17.049999,0.408468835,0.030250678,0.9909,0.046,0.828,0.126,0,17.4
12,16.91,21-01-2010,16.58,0.266399551,0.063011223,0.9936,0.031,0.847,0.122,0,17.049999
13,16.549999,22-01-2010,16.280001,0.24988456,0.063362193,0.9845,0.016,0.897,0.086,0,16.58
14,16.450001,25-01-2010,16.4,0.26965812,-0.048504274,-0.4939,0.057,0.92,0.023,0,16.280001
15,16.280001,26-01-2010,16.16,0.182478632,0.02008547,0.7964,0,0.952,0.048,0,16.4
16,15.45,27-01-2010,15.28,0.355145202,0.060172033,0.9871,0.034,0.827,0.14,0,16.16
17,15.35,28-01-2010,15.05,0.251563193,0.015879527,0.9944,0.006,0.844,0.15,0,15.28
18,15.13,29-01-2010,14.63,0.404334554,0.017155067,0.9911,0.043,0.848,0.11,0,15.05
19,15.2,01-02-2010,15.65,0.29540404,0.022186869,0.9381,0.048,0.851,0.101,0,14.63
20,15.46,02-02-2010,15.61,0.365698653,0.10440867,0.7782,0.087,0.806,0.107,0,15.65
21,15.7,03-02-2010,15.74,0.331818182,0.160227273,0.8958,0.054,0.864,0.082,0,15.61
22,15,04-02-2010,14.41,0.230383379,0.050264004,0.9852,0.027,0.841,0.132,0,15.74
